('vfx-2', '2020-06-10T23:12:31Z', '2020-06-10T23:12:33Z', '2020-06-10T23:12:38Z', '2020-06-10T23:12:38Z', 7.0)
('vfx-3', '2020-06-10T23:13:07Z', '2020-06-10T23:13:09Z', '2020-06-10T23:13:13Z', '2020-06-10T23:13:13Z', 6.0)
('color', '2020-06-10T23:13:51Z', '2020-06-10T23:13:54Z', '2020-06-10T23:13:57Z', '2020-06-10T23:13:57Z', 6.0)
('sound', '2020-06-10T23:14:28Z', '2020-06-10T23:14:30Z', '2020-06-10T23:14:35Z', '2020-06-10T23:14:35Z', 7.0)
('hdr', '2020-06-10T23:15:10Z', '2020-06-10T23:15:12Z', '2020-06-10T23:15:16Z', '2020-06-10T23:15:16Z', 6.0)
('owner', '2020-06-10T23:16:38Z', '2020-06-10T23:16:41Z', '2020-06-10T23:16:45Z', '2020-06-10T23:16:45Z', 7.0)
('vfx-1', '2020-06-10T23:16:42Z', '2020-06-10T23:16:45Z', '2020-06-10T23:16:50Z', '2020-06-10T23:16:50Z', 8.0)
('vfx-2', '2020-06-10T23:17:21Z', '2020-06-10T23:17:24Z', '2020-06-10T23:17:27Z', '2020-06-10T23:17:27Z', 6.0)
('vfx-3', '2020-06-10T23:17:56Z', '2020-06-10T23:17:58Z', '2020-06-10T23:18:03Z', '2020-06-10T23:18:03Z', 7.0)
('color', '2020-06-10T23:18:41Z', '2020-06-10T23:18:44Z', '2020-06-10T23:18:50Z', '2020-06-10T23:18:50Z', 9.0)
('sound', '2020-06-10T23:19:25Z', '2020-06-10T23:19:27Z', '2020-06-10T23:19:33Z', '2020-06-10T23:19:33Z', 8.0)
('hdr', '2020-06-10T23:20:09Z', '2020-06-10T23:20:11Z', '2020-06-10T23:20:16Z', '2020-06-10T23:20:16Z', 7.0)
('owner', '2020-06-10T23:21:18Z', '2020-06-10T23:21:21Z', '2020-06-10T23:21:25Z', '2020-06-10T23:21:25Z', 7.0)
('vfx-1', '2020-06-10T23:21:22Z', '2020-06-10T23:21:25Z', '2020-06-10T23:21:29Z', '2020-06-10T23:21:29Z', 7.0)
('vfx-2', '2020-06-10T23:22:01Z', '2020-06-10T23:22:04Z', '2020-06-10T23:22:09Z', '2020-06-10T23:22:09Z', 8.0)
('vfx-3', '2020-06-10T23:22:36Z', '2020-06-10T23:22:38Z', '2020-06-10T23:22:43Z', '2020-06-10T23:22:43Z', 7.0)
('color', '2020-06-10T23:23:22Z', '2020-06-10T23:23:25Z', '2020-06-10T23:23:29Z', '2020-06-10T23:23:29Z', 7.0)
('sound', '2020-06-10T23:24:05Z', '2020-06-10T23:24:07Z', '2020-06-10T23:24:11Z', '2020-06-10T23:24:11Z', 6.0)
('hdr', '2020-06-10T23:24:41Z', '2020-06-10T23:24:43Z', '2020-06-10T23:24:49Z', '2020-06-10T23:24:49Z', 8.0)
