('vfx-2', '2020-09-03T16:16:50Z', '2020-09-03T16:16:52Z', '2020-09-03T16:16:55Z', '2020-09-03T16:16:55Z', 5.0)
('vfx-3', '2020-09-03T16:17:30Z', '2020-09-03T16:17:31Z', '2020-09-03T16:17:35Z', '2020-09-03T16:17:35Z', 5.0)
('color', '2020-09-03T16:18:05Z', '2020-09-03T16:18:06Z', '2020-09-03T16:18:10Z', '2020-09-03T16:18:10Z', 5.0)
('sound', '2020-09-03T16:18:44Z', '2020-09-03T16:18:46Z', '2020-09-03T16:18:50Z', '2020-09-03T16:18:50Z', 6.0)
('hdr', '2020-09-03T16:19:20Z', '2020-09-03T16:19:22Z', '2020-09-03T16:19:27Z', '2020-09-03T16:19:27Z', 7.0)
('owner', '2020-09-03T16:20:44Z', '2020-09-03T16:20:47Z', '2020-09-03T16:20:50Z', '2020-09-03T16:20:50Z', 6.0)
('vfx-1', '2020-09-03T16:20:47Z', '2020-09-03T16:20:50Z', '2020-09-03T16:20:54Z', '2020-09-03T16:20:54Z', 7.0)
('vfx-2', '2020-09-03T16:21:30Z', '2020-09-03T16:21:32Z', '2020-09-03T16:21:36Z', '2020-09-03T16:21:36Z', 6.0)
('vfx-3', '2020-09-03T16:22:10Z', '2020-09-03T16:22:11Z', '2020-09-03T16:22:15Z', '2020-09-03T16:22:15Z', 5.0)
('color', '2020-09-03T16:22:50Z', '2020-09-03T16:22:51Z', '2020-09-03T16:22:55Z', '2020-09-03T16:22:55Z', 5.0)
('sound', '2020-09-03T16:23:34Z', '2020-09-03T16:23:36Z', '2020-09-03T16:23:42Z', '2020-09-03T16:23:42Z', 8.0)
('owner', '2020-09-03T16:25:44Z', '2020-09-03T16:25:47Z', '2020-09-03T16:25:50Z', '2020-09-03T16:25:50Z', 6.0)
('vfx-1', '2020-09-03T16:25:48Z', '2020-09-03T16:25:50Z', '2020-09-03T16:25:53Z', '2020-09-03T16:25:53Z', 5.0)
('vfx-2', '2020-09-03T16:26:30Z', '2020-09-03T16:26:32Z', '2020-09-03T16:26:35Z', '2020-09-03T16:26:35Z', 5.0)
('owner', '2020-09-03T16:31:24Z', '2020-09-03T16:31:27Z', '2020-09-03T16:31:32Z', '2020-09-03T16:31:32Z', 8.0)
('vfx-1', '2020-09-03T16:31:27Z', '2020-09-03T16:31:29Z', '2020-09-03T16:31:33Z', '2020-09-03T16:31:33Z', 6.0)
('vfx-2', '2020-09-03T16:32:02Z', '2020-09-03T16:32:04Z', '2020-09-03T16:32:09Z', '2020-09-03T16:32:09Z', 7.0)
('vfx-3', '2020-09-03T16:27:10Z', '2020-09-03T16:27:12Z', '2020-09-03T16:27:17Z', '2020-09-03T16:27:17Z', 7.0)
('color', '2020-09-03T16:27:50Z', '2020-09-03T16:27:52Z', '2020-09-03T16:27:56Z', '2020-09-03T16:27:56Z', 6.0)
('sound', '2020-09-03T16:28:35Z', '2020-09-03T16:28:37Z', '2020-09-03T16:28:42Z', '2020-09-03T16:28:42Z', 7.0)
('hdr', '2020-09-03T16:24:16Z', '2020-09-03T16:24:18Z', '2020-09-03T16:24:22Z', '2020-09-03T16:24:22Z', 6.0)
('owner', '2020-09-03T16:33:54Z', '2020-09-03T16:33:57Z', '2020-09-03T16:34:01Z', '2020-09-03T16:34:01Z', 7.0)
('vfx-1', '2020-09-03T16:33:57Z', '2020-09-03T16:34:00Z', '2020-09-03T16:34:04Z', '2020-09-03T16:34:04Z', 7.0)
('vfx-2', '2020-09-03T16:34:40Z', '2020-09-03T16:34:42Z', '2020-09-03T16:34:45Z', '2020-09-03T16:34:45Z', 5.0)
('vfx-3', '2020-09-03T16:35:20Z', '2020-09-03T16:35:22Z', '2020-09-03T16:35:25Z', '2020-09-03T16:35:25Z', 5.0)
('color', '2020-09-03T16:36:00Z', '2020-09-03T16:36:01Z', '2020-09-03T16:36:04Z', '2020-09-03T16:36:04Z', 4.0)
('sound', '2020-09-03T16:36:35Z', '2020-09-03T16:36:37Z', '2020-09-03T16:36:42Z', '2020-09-03T16:36:42Z', 7.0)
('hdr', '2020-09-03T16:37:16Z', '2020-09-03T16:37:18Z', '2020-09-03T16:37:22Z', '2020-09-03T16:37:22Z', 6.0)
('owner', '2020-09-03T16:38:44Z', '2020-09-03T16:38:46Z', '2020-09-03T16:38:50Z', '2020-09-03T16:38:50Z', 6.0)
('vfx-1', '2020-09-03T16:38:48Z', '2020-09-03T16:38:50Z', '2020-09-03T16:38:54Z', '2020-09-03T16:38:54Z', 6.0)
('vfx-2', '2020-09-03T16:39:30Z', '2020-09-03T16:39:32Z', '2020-09-03T16:39:36Z', '2020-09-03T16:39:36Z', 6.0)
('vfx-3', '2020-09-03T16:40:10Z', '2020-09-03T16:40:12Z', '2020-09-03T16:40:17Z', '2020-09-03T16:40:17Z', 7.0)
('color', '2020-09-03T16:40:50Z', '2020-09-03T16:40:52Z', '2020-09-03T16:40:56Z', '2020-09-03T16:40:56Z', 6.0)
('sound', '2020-09-03T16:41:35Z', '2020-09-03T16:41:37Z', '2020-09-03T16:41:41Z', '2020-09-03T16:41:41Z', 6.0)
('hdr', '2020-09-03T16:42:17Z', '2020-09-03T16:42:18Z', '2020-09-03T16:42:23Z', '2020-09-03T16:42:23Z', 6.0)
('owner', '2020-09-03T16:43:44Z', '2020-09-03T16:43:47Z', '2020-09-03T16:43:51Z', '2020-09-03T16:43:51Z', 7.0)
('vfx-1', '2020-09-03T16:43:48Z', '2020-09-03T16:43:49Z', '2020-09-03T16:43:54Z', '2020-09-03T16:43:54Z', 6.0)
('vfx-2', '2020-09-03T16:44:22Z', '2020-09-03T16:44:24Z', '2020-09-03T16:44:27Z', '2020-09-03T16:44:27Z', 5.0)
('vfx-3', '2020-09-03T16:45:00Z', '2020-09-03T16:45:01Z', '2020-09-03T16:45:05Z', '2020-09-03T16:45:05Z', 5.0)
('color', '2020-09-03T16:45:34Z', '2020-09-03T16:45:36Z', '2020-09-03T16:45:41Z', '2020-09-03T16:45:41Z', 7.0)
('sound', '2020-09-03T16:46:14Z', '2020-09-03T16:46:16Z', '2020-09-03T16:46:21Z', '2020-09-03T16:46:21Z', 7.0)
('hdr', '2020-09-03T16:46:56Z', '2020-09-03T16:46:58Z', '2020-09-03T16:47:02Z', '2020-09-03T16:47:02Z', 6.0)
('owner', '2020-09-03T16:48:24Z', '2020-09-03T16:48:27Z', '2020-09-03T16:48:30Z', '2020-09-03T16:48:30Z', 6.0)
('vfx-1', '2020-09-03T16:48:27Z', '2020-09-03T16:48:29Z', '2020-09-03T16:48:32Z', '2020-09-03T16:48:32Z', 5.0)
('vfx-2', '2020-09-03T16:49:03Z', '2020-09-03T16:49:05Z', '2020-09-03T16:49:09Z', '2020-09-03T16:49:09Z', 6.0)
('vfx-3', '2020-09-03T16:49:38Z', '2020-09-03T16:49:40Z', '2020-09-03T16:49:45Z', '2020-09-03T16:49:45Z', 7.0)
('color', '2020-09-03T16:50:20Z', '2020-09-03T16:50:22Z', '2020-09-03T16:50:26Z', '2020-09-03T16:50:26Z', 6.0)
('sound', '2020-09-03T16:51:04Z', '2020-09-03T16:51:06Z', '2020-09-03T16:51:11Z', '2020-09-03T16:51:11Z', 7.0)
('hdr', '2020-09-03T16:51:41Z', '2020-09-03T16:51:43Z', '2020-09-03T16:51:48Z', '2020-09-03T16:51:48Z', 7.0)
('owner', '2020-09-03T16:52:55Z', '2020-09-03T16:52:57Z', '2020-09-03T16:53:02Z', '2020-09-03T16:53:02Z', 7.0)
('vfx-1', '2020-09-03T16:52:58Z', '2020-09-03T16:53:00Z', '2020-09-03T16:53:03Z', '2020-09-03T16:53:03Z', 5.0)
('vfx-2', '2020-09-03T16:53:32Z', '2020-09-03T16:53:35Z', '2020-09-03T16:53:37Z', '2020-09-03T16:53:37Z', 5.0)
('vfx-3', '2020-09-03T16:54:10Z', '2020-09-03T16:54:12Z', '2020-09-03T16:54:15Z', '2020-09-03T16:54:15Z', 5.0)
('color', '2020-09-03T16:54:50Z', '2020-09-03T16:54:51Z', '2020-09-03T16:54:55Z', '2020-09-03T16:54:55Z', 5.0)
('sound', '2020-09-03T16:55:25Z', '2020-09-03T16:55:27Z', '2020-09-03T16:55:30Z', '2020-09-03T16:55:30Z', 5.0)
('hdr', '2020-09-03T16:56:01Z', '2020-09-03T16:56:03Z', '2020-09-03T16:56:08Z', '2020-09-03T16:56:08Z', 7.0)
('owner', '2020-09-03T16:57:14Z', '2020-09-03T16:57:16Z', '2020-09-03T16:57:20Z', '2020-09-03T16:57:20Z', 6.0)
('vfx-1', '2020-09-03T16:57:18Z', '2020-09-03T16:57:19Z', '2020-09-03T16:57:24Z', '2020-09-03T16:57:24Z', 6.0)
('vfx-2', '2020-09-03T16:58:00Z', '2020-09-03T16:58:01Z', '2020-09-03T16:58:05Z', '2020-09-03T16:58:05Z', 5.0)
('vfx-3', '2020-09-03T16:58:40Z', '2020-09-03T16:58:42Z', '2020-09-03T16:58:45Z', '2020-09-03T16:58:45Z', 5.0)
('color', '2020-09-03T16:59:20Z', '2020-09-03T16:59:22Z', '2020-09-03T16:59:25Z', '2020-09-03T16:59:25Z', 5.0)
('sound', '2020-09-03T16:59:56Z', '2020-09-03T16:59:58Z', '2020-09-03T17:00:02Z', '2020-09-03T17:00:02Z', 6.0)
('hdr', '2020-09-03T17:00:32Z', '2020-09-03T17:00:35Z', '2020-09-03T17:00:39Z', '2020-09-03T17:00:39Z', 7.0)
('owner', '2020-09-03T17:01:44Z', '2020-09-03T17:01:46Z', '2020-09-03T17:01:50Z', '2020-09-03T17:01:50Z', 6.0)
('vfx-1', '2020-09-03T17:01:47Z', '2020-09-03T17:01:50Z', '2020-09-03T17:01:53Z', '2020-09-03T17:01:53Z', 6.0)
('vfx-2', '2020-09-03T17:02:30Z', '2020-09-03T17:02:32Z', '2020-09-03T17:02:36Z', '2020-09-03T17:02:36Z', 6.0)
('vfx-3', '2020-09-03T17:03:10Z', '2020-09-03T17:03:12Z', '2020-09-03T17:03:15Z', '2020-09-03T17:03:15Z', 5.0)
('color', '2020-09-03T17:03:50Z', '2020-09-03T17:03:52Z', '2020-09-03T17:03:57Z', '2020-09-03T17:03:57Z', 7.0)
('sound', '2020-09-03T17:04:35Z', '2020-09-03T17:04:36Z', '2020-09-03T17:04:41Z', '2020-09-03T17:04:41Z', 6.0)
('hdr', '2020-09-03T17:05:11Z', '2020-09-03T17:05:14Z', '2020-09-03T17:05:18Z', '2020-09-03T17:05:18Z', 7.0)
('owner', '2020-09-03T17:06:34Z', '2020-09-03T17:06:36Z', '2020-09-03T17:06:39Z', '2020-09-03T17:06:39Z', 5.0)
