('vfx-2', 'sound', '0.000028', '0.000140', '0.000000', '0.000181', '0.000000', '0.102582', '0.102611')
('vfx-2', 'hdr', '0.000027', '0.000148', '0.000000', '0.000188', '0.000000', '0.053995', '0.054026')
('vfx-3', 'owner', '0.000026', '0.000143', '0.000000', '0.000185', '0.000000', '0.006357', '0.006377')
('vfx-3', 'vfx-1', '0.000028', '0.000150', '0.000000', '0.000190', '0.000000', '0.003517', '0.003540')
('vfx-3', 'vfx-2', '0.000027', '0.000140', '0.000000', '0.000180', '0.000000', '0.007176', '0.007203')
('vfx-3', 'color', '0.000027', '0.000169', '0.000000', '0.000212', '0.000000', '0.008358', '0.008379')
('vfx-3', 'sound', '0.000027', '0.000145', '0.000000', '0.000186', '0.000000', '0.099244', '0.099268')
('vfx-3', 'hdr', '0.000037', '0.000204', '0.000000', '0.000251', '0.000000', '0.050845', '0.050870')
('color', 'owner', '0.000079', '0.000346', '0.000000', '0.000416', '0.000000', '0.009521', '0.009593')
('color', 'vfx-1', '0.000071', '0.000286', '0.000000', '0.000343', '0.000000', '0.007686', '0.007731')
('color', 'vfx-2', '0.000049', '0.000303', '0.000000', '0.000362', '0.000000', '0.012712', '0.012842')
('color', 'vfx-3', '0.000042', '0.000265', '0.000000', '0.000319', '0.000000', '0.006854', '0.006909')
('color', 'sound', '0.000050', '0.000328', '0.000000', '0.000390', '0.000000', '0.097395', '0.097450')
('color', 'hdr', '0.000050', '0.000304', '0.000000', '0.000366', '0.000000', '0.061496', '0.061716')
('sound', 'owner', '0.000027', '0.000143', '0.000000', '0.000185', '0.000000', '0.099420', '0.099498')
('sound', 'vfx-1', '0.000028', '0.000166', '0.000000', '0.000206', '0.000000', '0.097814', '0.097837')
('sound', 'vfx-2', '0.000026', '0.000144', '0.000000', '0.000183', '0.000000', '0.050079', '0.050104')
('sound', 'vfx-3', '0.000033', '0.000144', '0.000000', '0.000185', '0.000000', '0.050359', '0.050386')
('sound', 'color', '0.000028', '0.000134', '0.000000', '0.000174', '0.000000', '0.099709', '0.099730')
('sound', 'hdr', '0.000032', '0.000162', '0.000000', '0.000204', '0.000000', '0.005444', '0.005466')
('hdr', 'owner', '0.000033', '0.000173', '0.000000', '0.000215', '0.000000', '0.052925', '0.052951')
('hdr', 'vfx-1', '0.000035', '0.000178', '0.000000', '0.000261', '0.000000', '0.095689', '0.095712')
('hdr', 'vfx-2', '0.000032', '0.000152', '0.000000', '0.000192', '0.000000', '0.052882', '0.052906')
('hdr', 'vfx-3', '0.000027', '0.000189', '0.000000', '0.000232', '0.000000', '0.095906', '0.095930')
('hdr', 'color', '0.000025', '0.000138', '0.000000', '0.000176', '0.000000', '0.100527', '0.100618')
