('vfx-2', 'sound', '0.000030', '0.000145', '0.000000', '0.000187', '0.000000', '0.052897', '0.053012')
('vfx-2', 'hdr', '0.000027', '0.000140', '0.000000', '0.000180', '0.000000', '0.099646', '0.099710')
('vfx-3', 'owner', '0.000046', '0.000192', '0.000000', '0.000234', '0.000000', '0.006224', '0.006668')
('vfx-3', 'vfx-1', '0.000031', '0.000139', '0.000000', '0.000180', '0.000000', '0.003960', '0.004026')
('vfx-3', 'vfx-2', '0.000037', '0.000187', '0.000000', '0.000232', '0.000000', '0.004926', '0.004979')
('vfx-3', 'color', '0.000027', '0.000157', '0.000000', '0.000197', '0.000000', '0.005495', '0.005542')
('vfx-3', 'sound', '0.000029', '0.000137', '0.000000', '0.000184', '0.000000', '0.095574', '0.095875')
('vfx-3', 'hdr', '0.000026', '0.000146', '0.000000', '0.000187', '0.000000', '0.053743', '0.053819')
('color', 'owner', '0.000074', '0.000208', '0.000000', '0.000247', '0.000000', '0.005347', '0.005386')
('color', 'vfx-1', '0.000025', '0.000128', '0.000000', '0.000167', '0.000000', '0.005857', '0.005893')
('color', 'vfx-2', '0.000024', '0.000121', '0.000000', '0.000192', '0.000000', '0.006231', '0.006263')
('color', 'vfx-3', '0.000025', '0.000201', '0.000000', '0.000239', '0.000000', '0.005992', '0.006028')
('color', 'sound', '0.000025', '0.000120', '0.000000', '0.000174', '0.000000', '0.051372', '0.051412')
('color', 'hdr', '0.000027', '0.000136', '0.000000', '0.000172', '0.000000', '0.050250', '0.050296')
('sound', 'owner', '0.000030', '0.000152', '0.000000', '0.000194', '0.000000', '0.051100', '0.051170')
('sound', 'vfx-1', '0.000028', '0.000174', '0.000000', '0.000218', '0.000000', '0.052319', '0.052386')
('sound', 'vfx-2', '0.000027', '0.000135', '0.000000', '0.000174', '0.000000', '0.053035', '0.053096')
('sound', 'vfx-3', '0.000027', '0.000145', '0.000000', '0.000185', '0.000000', '0.100105', '0.100174')
('sound', 'color', '0.000026', '0.000133', '0.000000', '0.000172', '0.000000', '0.099779', '0.099845')
('sound', 'hdr', '0.000027', '0.000153', '0.000000', '0.000196', '0.000000', '0.005680', '0.005731')
('hdr', 'owner', '0.000031', '0.000150', '0.000000', '0.000193', '0.000000', '0.095363', '0.095628')
('hdr', 'vfx-1', '0.000063', '0.000199', '0.000000', '0.000241', '0.000000', '0.053709', '0.053774')
('hdr', 'vfx-2', '0.000032', '0.000156', '0.000000', '0.000198', '0.000000', '0.103889', '0.103958')
('hdr', 'vfx-3', '0.000032', '0.000139', '0.000000', '0.000176', '0.000000', '0.099126', '0.099399')
('hdr', 'color', '0.000029', '0.000153', '0.000000', '0.000196', '0.000000', '0.051885', '0.051949')
('hdr', 'sound', '0.000032', '0.000177', '0.000000', '0.000217', '0.000000', '0.005554', '0.005994')
('owner', 'vfx-1', '0.000034', '0.000154', '0.000000', '0.000194', '0.000000', '0.005816', '0.005869')
('owner', 'vfx-2', '0.000026', '0.000165', '0.000000', '0.000208', '0.000000', '0.007677', '0.007738')
('owner', 'vfx-3', '0.000034', '0.000174', '0.000000', '0.000217', '0.000000', '0.007378', '0.007425')
('owner', 'color', '0.000054', '0.000187', '0.000000', '0.000231', '0.000000', '0.005793', '0.005851')
('owner', 'sound', '0.000025', '0.000132', '0.000000', '0.000171', '0.000000', '0.052132', '0.052194')
('owner', 'hdr', '0.000026', '0.000143', '0.000000', '0.000184', '0.000000', '0.101821', '0.101895')
('vfx-1', 'owner', '0.000028', '0.000150', '0.000000', '0.000191', '0.000000', '0.016651', '0.016750')
('vfx-1', 'vfx-2', '0.000026', '0.000148', '0.000000', '0.000189', '0.000000', '0.003963', '0.004009')
('vfx-1', 'vfx-3', '0.000028', '0.000154', '0.000000', '0.000197', '0.000000', '0.004211', '0.004262')
('vfx-1', 'color', '0.000034', '0.000177', '0.000000', '0.000272', '0.000000', '0.005368', '0.005418')
('vfx-1', 'sound', '0.000028', '0.000142', '0.000000', '0.000182', '0.000000', '0.050639', '0.050707')
('vfx-1', 'hdr', '0.000028', '0.000197', '0.000000', '0.000240', '0.000000', '0.050701', '0.050764')
('vfx-2', 'owner', '0.000026', '0.000126', '0.000000', '0.000164', '0.000000', '0.007384', '0.007446')
('vfx-2', 'vfx-1', '0.000025', '0.000155', '0.000000', '0.000195', '0.000000', '0.003732', '0.003776')
('vfx-2', 'vfx-3', '0.000027', '0.000149', '0.000000', '0.000193', '0.000000', '0.004162', '0.004214')
('vfx-2', 'color', '0.000034', '0.000186', '0.000000', '0.000228', '0.000000', '0.005769', '0.005814')
('vfx-2', 'sound', '0.000027', '0.000140', '0.000000', '0.000213', '0.000000', '0.052448', '0.052543')
('vfx-2', 'hdr', '0.000026', '0.000139', '0.000000', '0.000181', '0.000000', '0.051028', '0.051093')
('vfx-3', 'owner', '0.000027', '0.000176', '0.000000', '0.000221', '0.000000', '0.005395', '0.005440')
('vfx-3', 'vfx-1', '0.000027', '0.000151', '0.000000', '0.000190', '0.000000', '0.004157', '0.004206')
('vfx-3', 'vfx-2', '0.000028', '0.000140', '0.000000', '0.000191', '0.000000', '0.003970', '0.004015')
('vfx-3', 'color', '0.000029', '0.000145', '0.000000', '0.000186', '0.000000', '0.006407', '0.006451')
('vfx-3', 'sound', '0.000035', '0.000177', '0.000000', '0.000219', '0.000000', '0.050792', '0.050858')
('vfx-3', 'hdr', '0.000034', '0.000162', '0.000000', '0.000205', '0.000000', '0.099196', '0.099462')
('color', 'owner', '0.000037', '0.000158', '0.000000', '0.000198', '0.000000', '0.005704', '0.005743')
('color', 'vfx-1', '0.000027', '0.000125', '0.000000', '0.000164', '0.000000', '0.006157', '0.006193')
('color', 'vfx-2', '0.000023', '0.000122', '0.000000', '0.000162', '0.000000', '0.005119', '0.005153')
('color', 'vfx-3', '0.000024', '0.000127', '0.000000', '0.000163', '0.000000', '0.006953', '0.006990')
('color', 'sound', '0.000036', '0.000131', '0.000000', '0.000165', '0.000000', '0.096207', '0.096252')
('color', 'hdr', '0.000025', '0.000158', '0.000000', '0.000196', '0.000000', '0.051022', '0.051070')
('sound', 'owner', '0.000034', '0.000175', '0.000000', '0.000216', '0.000000', '0.051220', '0.051282')
('sound', 'vfx-1', '0.000055', '0.000162', '0.000000', '0.000202', '0.000000', '0.052084', '0.052151')
('sound', 'vfx-2', '0.000028', '0.000156', '0.000000', '0.000199', '0.000000', '0.054543', '0.054604')
('sound', 'vfx-3', '0.000025', '0.000137', '0.000000', '0.000176', '0.000000', '0.052534', '0.052596')
('sound', 'color', '0.000027', '0.000139', '0.000000', '0.000178', '0.000000', '0.053754', '0.053817')
('sound', 'hdr', '0.000034', '0.000207', '0.000000', '0.000265', '0.000000', '0.005599', '0.005637')
('hdr', 'owner', '0.000038', '0.000180', '0.000000', '0.000231', '0.000000', '0.050826', '0.050893')
('hdr', 'vfx-1', '0.000029', '0.000154', '0.000000', '0.000195', '0.000000', '0.099760', '0.099828')
('hdr', 'vfx-2', '0.000025', '0.000137', '0.000000', '0.000175', '0.000000', '0.050432', '0.050496')
('hdr', 'vfx-3', '0.000026', '0.000127', '0.000000', '0.000165', '0.000000', '0.052370', '0.052434')
('hdr', 'color', '0.000026', '0.000129', '0.000000', '0.000166', '0.000000', '0.099298', '0.099368')
('hdr', 'sound', '0.000030', '0.000154', '0.000000', '0.000194', '0.000000', '0.006271', '0.006314')
('owner', 'vfx-1', '0.000029', '0.000144', '0.000000', '0.000185', '0.000000', '0.006190', '0.006243')
('owner', 'vfx-2', '0.000035', '0.000187', '0.000000', '0.000228', '0.000000', '0.005836', '0.005930')
('owner', 'vfx-3', '0.000029', '0.000155', '0.000000', '0.000196', '0.000000', '0.005585', '0.005639')
('owner', 'color', '0.000026', '0.000136', '0.000000', '0.000176', '0.000000', '0.006618', '0.006674')
('owner', 'sound', '0.000034', '0.000164', '0.000000', '0.000207', '0.000000', '0.051131', '0.051195')
('owner', 'hdr', '0.000028', '0.000144', '0.000000', '0.000185', '0.000000', '0.052818', '0.052919')
('vfx-1', 'owner', '0.000035', '0.000159', '0.000000', '0.000201', '0.000000', '0.005629', '0.005677')
('vfx-1', 'vfx-2', '0.000028', '0.000134', '0.000000', '0.000175', '0.000000', '0.004097', '0.004144')
('vfx-1', 'vfx-3', '0.000032', '0.000184', '0.000000', '0.000227', '0.000000', '0.004891', '0.004954')
('vfx-1', 'color', '0.000030', '0.000176', '0.000000', '0.000215', '0.000000', '0.005426', '0.005481')
('vfx-1', 'sound', '0.000027', '0.000145', '0.000000', '0.000185', '0.000000', '0.050692', '0.050759')
('vfx-1', 'hdr', '0.000031', '0.000152', '0.000000', '0.000192', '0.000000', '0.056811', '0.056885')
('vfx-2', 'owner', '0.000027', '0.000161', '0.000000', '0.000212', '0.000000', '0.005628', '0.005683')
('vfx-2', 'vfx-1', '0.000024', '0.000140', '0.000000', '0.000181', '0.000000', '0.003929', '0.003971')
('vfx-2', 'vfx-3', '0.000026', '0.000138', '0.000000', '0.000179', '0.000000', '0.003913', '0.003956')
('vfx-2', 'color', '0.000028', '0.000156', '0.000000', '0.000200', '0.000000', '0.005595', '0.005642')
('vfx-2', 'sound', '0.000028', '0.000243', '0.000000', '0.000308', '0.000000', '0.052376', '0.052442')
('vfx-2', 'hdr', '0.000033', '0.000146', '0.000000', '0.000185', '0.000000', '0.050592', '0.050656')
('vfx-3', 'owner', '0.000025', '0.000146', '0.000000', '0.000186', '0.000000', '0.005858', '0.005911')
('vfx-3', 'vfx-1', '0.000026', '0.000189', '0.000000', '0.000235', '0.000000', '0.004429', '0.004479')
('vfx-3', 'vfx-2', '0.000028', '0.000147', '0.000000', '0.000191', '0.000000', '0.004476', '0.004525')
('vfx-3', 'color', '0.000033', '0.000159', '0.000000', '0.000201', '0.000000', '0.005633', '0.005673')
('vfx-3', 'sound', '0.000028', '0.000200', '0.000000', '0.000245', '0.000000', '0.050271', '0.050337')
('vfx-3', 'hdr', '0.000050', '0.000189', '0.000000', '0.000231', '0.000000', '0.052894', '0.052969')
('color', 'owner', '0.000031', '0.000135', '0.000000', '0.000174', '0.000000', '0.006123', '0.006162')
('color', 'vfx-1', '0.000030', '0.000130', '0.000000', '0.000164', '0.000000', '0.007032', '0.007071')
('color', 'vfx-2', '0.000025', '0.000115', '0.000000', '0.000150', '0.000000', '0.005265', '0.005305')
