('vfx-2', 'sound', '0.000045', '0.000180', '0.000000', '0.000379', '0.000000', '0.052758', '0.052822')
('vfx-2', 'hdr', '0.000034', '0.000180', '0.000000', '0.000223', '0.000000', '0.052322', '0.052414')
('vfx-3', 'owner', '0.000033', '0.000164', '0.000000', '0.000204', '0.000000', '0.009091', '0.009169')
('vfx-3', 'vfx-1', '0.000033', '0.000183', '0.000000', '0.000227', '0.000000', '0.007397', '0.007457')
('vfx-3', 'vfx-2', '0.000035', '0.000176', '0.000000', '0.000221', '0.000000', '0.017407', '0.017473')
('vfx-3', 'color', '0.000040', '0.000171', '0.000000', '0.000216', '0.000000', '0.009875', '0.009945')
('vfx-3', 'sound', '0.000034', '0.000175', '0.000000', '0.000217', '0.000000', '0.100415', '0.100485')
('vfx-3', 'hdr', '0.000045', '0.000168', '0.000000', '0.000209', '0.000000', '0.052175', '0.052244')
('color', 'owner', '0.000028', '0.000147', '0.000000', '0.000188', '0.000000', '0.007837', '0.007905')
('color', 'vfx-1', '0.000036', '0.000177', '0.000000', '0.000215', '0.000000', '0.009698', '0.009769')
('color', 'vfx-2', '0.000037', '0.000191', '0.000000', '0.000235', '0.000000', '0.010255', '0.010321')
('color', 'vfx-3', '0.000034', '0.000189', '0.000000', '0.000232', '0.000000', '0.009509', '0.009573')
('color', 'sound', '0.000027', '0.000147', '0.000000', '0.000189', '0.000000', '0.054759', '0.054831')
('color', 'hdr', '0.000028', '0.000144', '0.000000', '0.000184', '0.000000', '0.053538', '0.053622')
('sound', 'owner', '0.000033', '0.000167', '0.000000', '0.000221', '0.000000', '0.098410', '0.098471')
('sound', 'vfx-1', '0.000023', '0.000126', '0.000000', '0.000163', '0.000000', '0.056450', '0.056506')
('sound', 'vfx-2', '0.000026', '0.000149', '0.000000', '0.000189', '0.000000', '0.054972', '0.055052')
('sound', 'vfx-3', '0.000023', '0.000122', '0.000000', '0.000157', '0.000000', '0.052512', '0.052557')
('sound', 'color', '0.000031', '0.000152', '0.000000', '0.000188', '0.000000', '0.056964', '0.057026')
('sound', 'hdr', '0.000024', '0.000124', '0.000000', '0.000159', '0.000000', '0.007914', '0.007951')
('hdr', 'owner', '0.000023', '0.000101', '0.000000', '0.000134', '0.000000', '0.053527', '0.053564')
('hdr', 'vfx-1', '0.000023', '0.000119', '0.000000', '0.000154', '0.000000', '0.053304', '0.053345')
('hdr', 'vfx-2', '0.000029', '0.000133', '0.000000', '0.000166', '0.000000', '0.108582', '0.108624')
('hdr', 'vfx-3', '0.000033', '0.000119', '0.000000', '0.000151', '0.000000', '0.054561', '0.054608')
('hdr', 'color', '0.000022', '0.000109', '0.000000', '0.000142', '0.000000', '0.055338', '0.055375')
