('vfx-2', 'sound', '0.000025', '0.000123', '0.000000', '0.000161', '0.000000', '0.052003', '0.052020')
('vfx-2', 'hdr', '0.000033', '0.000154', '0.000000', '0.000199', '0.000000', '0.096812', '0.096833')
('vfx-3', 'owner', '0.000024', '0.000129', '0.000000', '0.000168', '0.000000', '0.005757', '0.005777')
('vfx-3', 'vfx-1', '0.000026', '0.000137', '0.000000', '0.000210', '0.000000', '0.003699', '0.003719')
('vfx-3', 'vfx-2', '0.000026', '0.000128', '0.000000', '0.000168', '0.000000', '0.003772', '0.003786')
('vfx-3', 'color', '0.000025', '0.000129', '0.000000', '0.000168', '0.000000', '0.005033', '0.005050')
('vfx-3', 'sound', '0.000034', '0.000170', '0.000000', '0.000213', '0.000000', '0.099098', '0.099170')
('vfx-3', 'hdr', '0.000033', '0.000183', '0.000000', '0.000231', '0.000000', '0.095935', '0.095956')
('color', 'owner', '0.000031', '0.000144', '0.000000', '0.000186', '0.000000', '0.005620', '0.005639')
('color', 'vfx-1', '0.000026', '0.000142', '0.000000', '0.000184', '0.000000', '0.005344', '0.005369')
('color', 'vfx-2', '0.000029', '0.000159', '0.000000', '0.000201', '0.000000', '0.004985', '0.005007')
('color', 'vfx-3', '0.000028', '0.000142', '0.000000', '0.000187', '0.000000', '0.005877', '0.005899')
('color', 'sound', '0.000060', '0.000180', '0.000000', '0.000223', '0.000000', '0.055476', '0.055505')
('color', 'hdr', '0.000035', '0.000180', '0.000000', '0.000222', '0.000000', '0.050327', '0.050350')
('sound', 'owner', '0.000029', '0.000150', '0.000000', '0.000192', '0.000000', '0.052935', '0.052957')
('sound', 'vfx-1', '0.000027', '0.000141', '0.000000', '0.000181', '0.000000', '0.054077', '0.054112')
('sound', 'vfx-2', '0.000028', '0.000144', '0.000000', '0.000183', '0.000000', '0.099003', '0.099030')
('sound', 'vfx-3', '0.000037', '0.000181', '0.000000', '0.000223', '0.000000', '0.095600', '0.095630')
('sound', 'color', '0.000052', '0.000189', '0.000000', '0.000240', '0.000000', '0.099377', '0.099401')
('sound', 'hdr', '0.000034', '0.000161', '0.000000', '0.000207', '0.000000', '0.009211', '0.009238')
('hdr', 'owner', '0.000027', '0.000149', '0.000000', '0.000188', '0.000000', '0.054249', '0.054335')
('hdr', 'vfx-1', '0.000036', '0.000152', '0.000000', '0.000193', '0.000000', '0.098722', '0.098752')
('hdr', 'vfx-2', '0.000035', '0.000189', '0.000000', '0.000228', '0.000000', '0.049688', '0.049710')
('hdr', 'vfx-3', '0.000027', '0.000146', '0.000000', '0.000186', '0.000000', '0.052718', '0.052740')
('hdr', 'color', '0.000054', '0.000198', '0.000000', '0.000240', '0.000000', '0.051025', '0.051075')
('hdr', 'sound', '0.000028', '0.000135', '0.000000', '0.000175', '0.000000', '0.005263', '0.005284')
('owner', 'vfx-1', '0.000032', '0.000152', '0.000000', '0.000195', '0.000000', '0.008367', '0.008412')
('owner', 'vfx-2', '0.000026', '0.000138', '0.000000', '0.000180', '0.000000', '0.005078', '0.005097')
('owner', 'vfx-3', '0.000046', '0.000164', '0.000000', '0.000205', '0.000000', '0.004856', '0.004873')
('owner', 'color', '0.000036', '0.000163', '0.000000', '0.000206', '0.000000', '0.006295', '0.006312')
('owner', 'sound', '0.000049', '0.000158', '0.000000', '0.000197', '0.000000', '0.099253', '0.099275')
('owner', 'hdr', '0.000025', '0.000137', '0.000000', '0.000169', '0.000000', '0.099064', '0.099087')
('vfx-1', 'owner', '0.000025', '0.000135', '0.000000', '0.000176', '0.000000', '0.005156', '0.005171')
('vfx-1', 'vfx-2', '0.000027', '0.000545', '0.000000', '0.000595', '0.000000', '0.007725', '0.007772')
