('owner', 'vfx-1', '0.000040', '0.000208', '0.000000', '0.000251', '0.000000', '0.013603', '0.013679')
('owner', 'vfx-2', '0.000030', '0.000146', '0.000000', '0.000190', '0.000000', '0.008053', '0.008076')
('owner', 'vfx-3', '0.000037', '0.000189', '0.000000', '0.000232', '0.000000', '0.007940', '0.007962')
('owner', 'color', '0.000057', '0.000399', '0.000000', '0.001083', '0.000000', '0.008651', '0.008675')
('owner', 'sound', '0.000026', '0.000165', '0.000000', '0.000205', '0.000000', '0.098176', '0.098206')
('owner', 'hdr', '0.000054', '0.000188', '0.000000', '0.000222', '0.000000', '0.102288', '0.102351')
('vfx-1', 'owner', '0.000055', '0.000156', '0.000000', '0.000197', '0.000000', '0.008597', '0.008614')
('vfx-1', 'vfx-2', '0.000043', '0.000183', '0.000000', '0.000224', '0.000000', '0.011128', '0.011534')
('vfx-1', 'vfx-3', '0.000026', '0.000136', '0.000000', '0.000176', '0.000000', '0.010533', '0.010619')
('vfx-1', 'color', '0.000028', '0.000149', '0.000000', '0.000194', '0.000000', '0.006519', '0.006534')
('vfx-1', 'sound', '0.000033', '0.000225', '0.000000', '0.000272', '0.000000', '0.100948', '0.100970')
('vfx-1', 'hdr', '0.000035', '0.000160', '0.000000', '0.000202', '0.000000', '0.104395', '0.104417')
('vfx-2', 'owner', '0.000027', '0.000145', '0.000000', '0.000186', '0.000000', '0.006185', '0.006204')
('vfx-2', 'vfx-1', '0.000058', '0.000248', '0.000000', '0.000320', '0.000000', '0.005555', '0.005608')
('vfx-2', 'vfx-3', '0.000026', '0.000139', '0.000000', '0.000181', '0.000000', '0.005127', '0.005145')
('vfx-2', 'color', '0.000033', '0.000160', '0.000000', '0.000200', '0.000000', '0.012881', '0.012919')
('vfx-2', 'sound', '0.000025', '0.000133', '0.000000', '0.000172', '0.000000', '0.096853', '0.096875')
('vfx-2', 'hdr', '0.000036', '0.000146', '0.000000', '0.000186', '0.000000', '0.100461', '0.100485')
('vfx-3', 'owner', '0.000026', '0.000140', '0.000000', '0.000181', '0.000000', '0.007632', '0.007674')
('vfx-3', 'vfx-1', '0.000042', '0.000152', '0.000000', '0.000191', '0.000000', '0.004493', '0.004511')
('vfx-3', 'vfx-2', '0.000024', '0.000161', '0.000000', '0.000202', '0.000000', '0.005084', '0.005126')
('vfx-3', 'color', '0.000032', '0.000152', '0.000000', '0.000192', '0.000000', '0.005859', '0.005878')
('vfx-3', 'sound', '0.000033', '0.000150', '0.000000', '0.000189', '0.000000', '0.107585', '0.107647')
('vfx-3', 'hdr', '0.000026', '0.000138', '0.000000', '0.000178', '0.000000', '0.100908', '0.100930')
('color', 'owner', '0.000032', '0.000161', '0.000000', '0.000203', '0.000000', '0.007786', '0.007809')
('color', 'vfx-1', '0.000028', '0.000146', '0.000000', '0.000186', '0.000000', '0.006701', '0.006720')
('color', 'vfx-2', '0.000111', '0.000230', '0.000000', '0.000269', '0.000000', '0.006046', '0.006067')
('color', 'vfx-3', '0.000031', '0.000147', '0.000000', '0.000187', '0.000000', '0.007973', '0.007993')
('color', 'sound', '0.000036', '0.000198', '0.000000', '0.000247', '0.000000', '0.097132', '0.097168')
('color', 'hdr', '0.000025', '0.000145', '0.000000', '0.000222', '0.000000', '0.096697', '0.096720')
('sound', 'owner', '0.000037', '0.000168', '0.000000', '0.000210', '0.000000', '0.096467', '0.096490')
('sound', 'vfx-1', '0.000037', '0.000195', '0.000000', '0.000300', '0.000000', '0.099830', '0.099852')
('sound', 'vfx-2', '0.000035', '0.000162', '0.000000', '0.000205', '0.000000', '0.099743', '0.099767')
('sound', 'vfx-3', '0.000036', '0.000191', '0.000000', '0.000243', '0.000000', '0.101719', '0.101743')
('sound', 'color', '0.000036', '0.000185', '0.000000', '0.000229', '0.000000', '0.103848', '0.103871')
('sound', 'hdr', '0.000034', '0.000186', '0.000000', '0.000229', '0.000000', '0.007669', '0.007684')
('hdr', 'owner', '0.000066', '0.000187', '0.000000', '0.000226', '0.000000', '0.109048', '0.109119')
('hdr', 'vfx-1', '0.000036', '0.000211', '0.000000', '0.000253', '0.000000', '0.096237', '0.096259')
('hdr', 'vfx-2', '0.000028', '0.000167', '0.000000', '0.000232', '0.000000', '0.104513', '0.104540')
('hdr', 'vfx-3', '0.000031', '0.000299', '0.000000', '0.000389', '0.000000', '0.096475', '0.096499')
('hdr', 'color', '0.000033', '0.000153', '0.000000', '0.000192', '0.000000', '0.096846', '0.096872')
('hdr', 'sound', '0.000035', '0.000203', '0.000000', '0.000250', '0.000000', '0.007822', '0.007849')
('owner', 'vfx-1', '0.000031', '0.000139', '0.000000', '0.000179', '0.000000', '0.011558', '0.011617')
('owner', 'vfx-2', '0.000034', '0.000156', '0.000000', '0.000195', '0.000000', '0.005887', '0.005906')
('owner', 'vfx-3', '0.000029', '0.000239', '0.000000', '0.000302', '0.000000', '0.006495', '0.006513')
('owner', 'color', '0.000034', '0.000148', '0.000000', '0.000188', '0.000000', '0.009932', '0.009956')
('owner', 'sound', '0.000035', '0.000178', '0.000000', '0.000223', '0.000000', '0.107701', '0.107724')
('owner', 'hdr', '0.000028', '0.000169', '0.000000', '0.000213', '0.000000', '0.053536', '0.053561')
('vfx-1', 'owner', '0.000036', '0.000186', '0.000000', '0.000231', '0.000000', '0.009620', '0.009640')
