('color', 'hdr', '0.000053', '0.000318', '0.000000', '0.000375', '0.000000', '0.100256', '0.100384')
('sound', 'owner', '0.000038', '0.000174', '0.000000', '0.000218', '0.000000', '0.099359', '0.099434')
('sound', 'vfx-1', '0.000026', '0.000133', '0.000000', '0.000174', '0.000000', '0.102402', '0.102471')
('sound', 'vfx-2', '0.000027', '0.000136', '0.000000', '0.000179', '0.000000', '0.098406', '0.099138')
('sound', 'vfx-3', '0.000028', '0.000149', '0.000000', '0.000188', '0.000000', '0.099572', '0.099637')
('sound', 'color', '0.000028', '0.000153', '0.000000', '0.000203', '0.000000', '0.101624', '0.101691')
('sound', 'hdr', '0.000033', '0.000157', '0.000000', '0.000201', '0.000000', '0.008479', '0.008540')
('hdr', 'owner', '0.000029', '0.000185', '0.000000', '0.000233', '0.000000', '0.101509', '0.101573')
('hdr', 'vfx-1', '0.000029', '0.000152', '0.000000', '0.000193', '0.000000', '0.101914', '0.101983')
('hdr', 'vfx-2', '0.000026', '0.000139', '0.000000', '0.000178', '0.000000', '0.105424', '0.105507')
('hdr', 'vfx-3', '0.000036', '0.000178', '0.000000', '0.000220', '0.000000', '0.098403', '0.098469')
('hdr', 'color', '0.000026', '0.000152', '0.000000', '0.000191', '0.000000', '0.103750', '0.103808')
('hdr', 'sound', '0.000032', '0.000169', '0.000000', '0.000213', '0.000000', '0.009274', '0.009327')
('owner', 'vfx-1', '0.000037', '0.000183', '0.000000', '0.000225', '0.000000', '0.010395', '0.010493')
('owner', 'vfx-2', '0.000036', '0.000184', '0.000000', '0.000228', '0.000000', '0.010518', '0.010579')
('owner', 'vfx-3', '0.000025', '0.000144', '0.000000', '0.000203', '0.000000', '0.008697', '0.008746')
('owner', 'color', '0.000035', '0.000180', '0.000000', '0.000222', '0.000000', '0.011572', '0.011640')
('owner', 'sound', '0.000027', '0.000137', '0.000000', '0.000176', '0.000000', '0.052778', '0.052870')
('owner', 'hdr', '0.000026', '0.000139', '0.000000', '0.000179', '0.000000', '0.055519', '0.055580')
('vfx-1', 'owner', '0.000026', '0.000146', '0.000000', '0.000188', '0.000000', '0.008202', '0.008256')
('vfx-1', 'vfx-2', '0.000027', '0.000131', '0.000000', '0.000172', '0.000000', '0.006727', '0.006891')
('vfx-1', 'vfx-3', '0.000033', '0.000162', '0.000000', '0.000200', '0.000000', '0.008548', '0.008605')
('vfx-1', 'color', '0.000030', '0.000151', '0.000000', '0.000194', '0.000000', '0.012248', '0.012313')
('vfx-1', 'sound', '0.000029', '0.000143', '0.000000', '0.000204', '0.000000', '0.055135', '0.055230')
('vfx-1', 'hdr', '0.000025', '0.000119', '0.000000', '0.000157', '0.000000', '0.099333', '0.099396')
('vfx-2', 'owner', '0.000025', '0.000132', '0.000000', '0.000172', '0.000000', '0.008650', '0.008746')
('vfx-2', 'vfx-1', '0.000029', '0.000147', '0.000000', '0.000223', '0.000000', '0.006225', '0.006275')
('vfx-2', 'vfx-3', '0.000031', '0.000168', '0.000000', '0.000211', '0.000000', '0.009418', '0.009471')
('vfx-2', 'color', '0.000032', '0.000135', '0.000000', '0.000174', '0.000000', '0.012855', '0.012904')
('vfx-2', 'sound', '0.000025', '0.000135', '0.000000', '0.000176', '0.000000', '0.052799', '0.052862')
('vfx-2', 'hdr', '0.000025', '0.000141', '0.000000', '0.000181', '0.000000', '0.053730', '0.053804')
('vfx-3', 'owner', '0.000032', '0.000209', '0.000000', '0.000253', '0.000000', '0.008297', '0.008341')
('vfx-3', 'vfx-1', '0.000025', '0.000155', '0.000000', '0.000197', '0.000000', '0.006840', '0.006977')
('vfx-3', 'vfx-2', '0.000032', '0.000166', '0.000000', '0.000281', '0.000000', '0.008003', '0.008050')
('vfx-3', 'color', '0.000033', '0.000163', '0.000000', '0.000207', '0.000000', '0.013351', '0.013412')
('vfx-3', 'sound', '0.000036', '0.000305', '0.000000', '0.000358', '0.000000', '0.105592', '0.105656')
('vfx-3', 'hdr', '0.000026', '0.000142', '0.000000', '0.000182', '0.000000', '0.052820', '0.053085')
('color', 'owner', '0.000040', '0.000259', '0.000000', '0.000318', '0.000000', '0.009573', '0.009688')
('color', 'vfx-1', '0.000041', '0.000288', '0.000000', '0.000348', '0.000000', '0.010867', '0.011026')
('color', 'vfx-2', '0.000027', '0.000152', '0.000000', '0.000192', '0.000000', '0.007691', '0.007737')
('color', 'vfx-3', '0.000037', '0.000221', '0.000000', '0.000274', '0.000000', '0.009077', '0.009173')
('color', 'sound', '0.000039', '0.000233', '0.000000', '0.000284', '0.000000', '0.054245', '0.054406')
('color', 'hdr', '0.000054', '0.000350', '0.000000', '0.000427', '0.000000', '0.103922', '0.104032')
('sound', 'owner', '0.000030', '0.000150', '0.000000', '0.000186', '0.000000', '0.053638', '0.053707')
('sound', 'vfx-1', '0.000029', '0.000144', '0.000000', '0.000184', '0.000000', '0.055324', '0.055429')
('sound', 'vfx-2', '0.000033', '0.000184', '0.000000', '0.000228', '0.000000', '0.102019', '0.102082')
('sound', 'vfx-3', '0.000028', '0.000145', '0.000000', '0.000186', '0.000000', '0.053891', '0.053958')
('sound', 'color', '0.000026', '0.000148', '0.000000', '0.000190', '0.000000', '0.057837', '0.057909')
('sound', 'hdr', '0.000026', '0.000143', '0.000000', '0.000182', '0.000000', '0.008353', '0.008412')
('hdr', 'owner', '0.000032', '0.000164', '0.000000', '0.000208', '0.000000', '0.106160', '0.106235')
('hdr', 'vfx-1', '0.000025', '0.000150', '0.000000', '0.000190', '0.000000', '0.098653', '0.098721')
('hdr', 'vfx-2', '0.000026', '0.000148', '0.000000', '0.000187', '0.000000', '0.098933', '0.098997')
('hdr', 'vfx-3', '0.000026', '0.000148', '0.000000', '0.000188', '0.000000', '0.102253', '0.102325')
('hdr', 'color', '0.000027', '0.000141', '0.000000', '0.000181', '0.000000', '0.056468', '0.056607')
('hdr', 'sound', '0.000036', '0.000191', '0.000000', '0.000235', '0.000000', '0.008436', '0.008530')
('owner', 'vfx-1', '0.000037', '0.000141', '0.000000', '0.000176', '0.000000', '0.012962', '0.013051')
('owner', 'vfx-2', '0.000035', '0.000174', '0.000000', '0.000217', '0.000000', '0.008075', '0.008143')
('owner', 'vfx-3', '0.000027', '0.000147', '0.000000', '0.000229', '0.000000', '0.008504', '0.008574')
('owner', 'color', '0.000034', '0.000150', '0.000000', '0.000188', '0.000000', '0.010766', '0.010834')
('owner', 'sound', '0.000034', '0.000156', '0.000000', '0.000195', '0.000000', '0.052963', '0.053031')
('owner', 'hdr', '0.000033', '0.000175', '0.000000', '0.000217', '0.000000', '0.055393', '0.055453')
('vfx-1', 'owner', '0.000027', '0.000146', '0.000000', '0.000188', '0.000000', '0.008712', '0.008775')
('vfx-1', 'vfx-2', '0.000026', '0.000126', '0.000000', '0.000165', '0.000000', '0.006390', '0.006452')
('vfx-1', 'vfx-3', '0.000028', '0.000143', '0.000000', '0.000183', '0.000000', '0.008762', '0.008815')
('vfx-1', 'color', '0.000025', '0.000139', '0.000000', '0.000180', '0.000000', '0.013227', '0.013285')
('vfx-1', 'sound', '0.000027', '0.000130', '0.000000', '0.000169', '0.000000', '0.054598', '0.054656')
('vfx-1', 'hdr', '0.000026', '0.000142', '0.000000', '0.000182', '0.000000', '0.053792', '0.053856')
('vfx-2', 'owner', '0.000032', '0.000154', '0.000000', '0.000195', '0.000000', '0.009442', '0.009521')
('vfx-2', 'vfx-1', '0.000033', '0.000169', '0.000000', '0.000211', '0.000000', '0.006607', '0.006665')
('vfx-2', 'vfx-3', '0.000031', '0.000159', '0.000000', '0.000200', '0.000000', '0.011933', '0.012506')
('vfx-2', 'color', '0.000025', '0.000147', '0.000000', '0.000189', '0.000000', '0.011185', '0.011250')
('vfx-2', 'sound', '0.000025', '0.000144', '0.000000', '0.000183', '0.000000', '0.053147', '0.053210')
('vfx-2', 'hdr', '0.000027', '0.000148', '0.000000', '0.000189', '0.000000', '0.055554', '0.055624')
('vfx-3', 'owner', '0.000036', '0.000188', '0.000000', '0.000236', '0.000000', '0.008118', '0.008169')
('vfx-3', 'vfx-1', '0.000031', '0.000160', '0.000000', '0.000200', '0.000000', '0.007484', '0.007977')
('vfx-3', 'vfx-2', '0.000141', '0.000329', '0.000000', '0.000372', '0.000000', '0.006681', '0.006731')
('vfx-3', 'color', '0.000027', '0.000140', '0.000000', '0.000181', '0.000000', '0.010659', '0.010744')
('vfx-3', 'sound', '0.000037', '0.000189', '0.000000', '0.000232', '0.000000', '0.053225', '0.053290')
('vfx-3', 'hdr', '0.000027', '0.000140', '0.000000', '0.000182', '0.000000', '0.053445', '0.053526')
('color', 'owner', '0.000042', '0.000276', '0.000000', '0.000334', '0.000000', '0.009551', '0.009654')
('color', 'vfx-1', '0.000037', '0.000241', '0.000000', '0.000294', '0.000000', '0.010466', '0.010613')
('color', 'vfx-2', '0.000047', '0.000511', '0.000000', '0.000575', '0.000000', '0.010878', '0.010996')
('color', 'vfx-3', '0.000054', '0.000326', '0.000000', '0.000386', '0.000000', '0.009748', '0.009862')
('color', 'sound', '0.000045', '0.000286', '0.000000', '0.000337', '0.000000', '0.054321', '0.054429')
('color', 'hdr', '0.000042', '0.000217', '0.000000', '0.000268', '0.000000', '0.053785', '0.053918')
('sound', 'owner', '0.000028', '0.000147', '0.000000', '0.000195', '0.000000', '0.053427', '0.053495')
('sound', 'vfx-1', '0.000027', '0.000125', '0.000000', '0.000164', '0.000000', '0.056279', '0.056339')
('sound', 'vfx-2', '0.000026', '0.000125', '0.000000', '0.000164', '0.000000', '0.052701', '0.052768')
('sound', 'vfx-3', '0.000028', '0.000179', '0.000000', '0.000223', '0.000000', '0.054864', '0.054933')
('sound', 'color', '0.000028', '0.000154', '0.000000', '0.000197', '0.000000', '0.057886', '0.057960')
('sound', 'hdr', '0.000032', '0.000145', '0.000000', '0.000186', '0.000000', '0.008015', '0.008078')
('hdr', 'owner', '0.000055', '0.000198', '0.000000', '0.000240', '0.000000', '0.052760', '0.052821')
('hdr', 'vfx-1', '0.000030', '0.000163', '0.000000', '0.000205', '0.000000', '0.054382', '0.054446')
('hdr', 'vfx-2', '0.000027', '0.000174', '0.000000', '0.000216', '0.000000', '0.057545', '0.057621')
('hdr', 'vfx-3', '0.000033', '0.000218', '0.000000', '0.000259', '0.000000', '0.053639', '0.053707')
('hdr', 'color', '0.000028', '0.000176', '0.000000', '0.000220', '0.000000', '0.101982', '0.102046')
('hdr', 'sound', '0.000030', '0.000180', '0.000000', '0.000225', '0.000000', '0.010285', '0.010339')
('owner', 'vfx-1', '0.000028', '0.000143', '0.000000', '0.000184', '0.000000', '0.008004', '0.008062')
('owner', 'vfx-2', '0.000027', '0.000148', '0.000000', '0.000191', '0.000000', '0.008178', '0.008239')
('owner', 'vfx-3', '0.000028', '0.000140', '0.000000', '0.000186', '0.000000', '0.008040', '0.008101')
('owner', 'color', '0.000027', '0.000139', '0.000000', '0.000178', '0.000000', '0.012308', '0.012365')
('owner', 'sound', '0.000035', '0.000156', '0.000000', '0.001383', '0.000000', '0.098080', '0.098142')
('owner', 'hdr', '0.000027', '0.000142', '0.000000', '0.000183', '0.000000', '0.054919', '0.054992')
('vfx-1', 'owner', '0.000025', '0.000144', '0.000000', '0.000185', '0.000000', '0.008104', '0.008156')
('vfx-1', 'vfx-2', '0.000026', '0.000136', '0.000000', '0.000177', '0.000000', '0.006519', '0.006598')
('vfx-1', 'vfx-3', '0.000034', '0.000176', '0.000000', '0.000214', '0.000000', '0.007101', '0.007163')
('vfx-1', 'color', '0.000028', '0.000302', '0.000000', '0.000357', '0.000000', '0.011062', '0.011112')
('vfx-1', 'sound', '0.000026', '0.000146', '0.000000', '0.000210', '0.000000', '0.098275', '0.098336')
